pokepoke_battle_data
日付,ランク,使用デッキ,相手デッキ,勝敗,自分の先攻/後攻
2025-05-24,ハイパー4,アルセウス　クロバット,ダークライ　ギラティナ,勝ち,先攻
2025-05-24,ハイパー4,アルセウス　クロバット,オドリドリ　ゲッコウガ,勝ち,先攻
2025-05-24,ハイパー4,アルセウス　クロバット,オドリドリ(超)　トゲキッス,負け,後攻
2025-05-24,ハイパー4,リザードン(単騎)　,マスカーニャ　ジュナイパー,勝ち,後攻
2025-05-24,ハイパー4,リザードン(単騎)　,アルセウス　クロバット,負け,後攻
2025-05-24,ハイパー4,ゲンガー(非EX)　カプテテフ,ラムパルド　ルガルガン,負け,先攻
2025-05-24,ハイパー4,カプテテフ　ゲッコウガ,アルセウス　クロバット,負け,先攻
2025-05-24,ハイパー4,アルセウス　クロバット,マスカーニャ　ジュナイパー,負け,先攻
2025-05-24,ハイパー4,ダークライ　ギラティナ,マスカーニャ　ジュナイパー,勝ち,後攻
2025-05-24,ハイパー4,ダークライ　ギラティナ,リザードン(単騎),負け,先攻
2025-05-24,ハイパー4,リザードン(単騎)　,オドリドリ　ゲッコウガ,負け,先攻
2025-05-24,ハイパー4,オドリドリ　ゲッコウガ,ラムパルド　ルガルガン,負け,先攻
2025-05-24,ハイパー4,オドリドリ　ゲッコウガ,ソルガレオ　エアームド,勝ち,先攻
2025-05-25,ハイパー4,アルセウス　クロバット,オドリドリ　ジバコイル,勝ち,先攻
2025-05-25,ハイパー4,アルセウス　クロバット,ラムパルド　ガブリアス,負け,先攻
2025-05-25,ハイパー4,リザードン(単騎)　,ギラティナ　ジバコイル,負け,後攻
2025-05-25,ハイパー4,リザードン(単騎)　,ダークライ　ギラティナ,負け,後攻
2025-05-25,ハイパー4,リザードン(単騎)　,リザードン　ガオガエン,負け,後攻
2025-05-25,ハイパー4,フーディン　ジュペッタ,ゴローニャ　サワムラー,負け,後攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,ソルガレオ　エアームド,勝ち,先攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,アルセウス　クロバット,負け,先攻
2025-05-25,ハイパー4,ゲンガー(非EX)　カプテテフ,マスカーニャ　ジュナイパー,負け,後攻
2025-05-25,ハイパー4,リザードン(単騎)　,ラムパルド　ガブリアス,負け,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ダークライ　ギラティナ,負け,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,マスカーニャ　ジュナイパー,勝ち,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,アルセウス　クロバット,負け,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,リザードン　バクガメス,勝ち,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ギラティナ　カプテテフ,勝ち,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ソルガレオ　カビゴン,負け,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,アルセウス　ダークライ,勝ち,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ラムパルド　エルレイド,負け,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,リザードン　バクガメス,勝ち,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ソルガレオ　エアームド,負け,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ソルガレオ　エアームド,負け,先攻
2025-05-25,ハイパー4,ソルガレオ　エアームド,ギラティナ　カプテテフ,負け,後攻
2025-05-25,ハイパー4,ソルガレオ　エアームド,アルセウス　ギラティナ,勝ち,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,アルセウス　クロバット,勝ち,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ラムパルド　ガブリアス,勝ち,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ギラティナ　ゲッコウガ,勝ち,後攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ソルガレオ　エアームド,勝ち,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ダークライ　ギラティナ,勝ち,先攻
2025-05-25,ハイパー4,ミュウツー　ジュペッタ,ラムパルド　ガブリアス,負け,後攻
2025-05-25,ハイパー4,オドリドリ　ゲッコウガ,ダークライ　ギラティナ,負け,先攻
2025-05-25,ハイパー4,リザードン(単騎)　,ラムパルド　ガブリアス,負け,後攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,マスカーニャ　ジュナイパー,勝ち,後攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,ギラティナ　ゲッコウガ,勝ち,先攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,ソルガレオ　エアームド,勝ち,後攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,ギラティナ　カプテテフ,負け,後攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,マスカーニャ　ジュナイパー,勝ち,先攻
2025-05-25,ハイパー4,ダークライ　ギラティナ,ソルガレオ　エアームド,勝ち,先攻
